Continental Region,Country Name,Year,Consumption Price,GDP,Poverty Index,Weather Anomaly
Europe,Spain,2018,60950712000.0,1421700000000.0,4.287171133150454,1.54
Europe,Spain,2019,62962900000.0,1394320000000.0,4.515670721211774,1.68
Europe,Spain,2022,86015237000.0,1397510000000.0,6.154892415796668,1.29
Europe,Sweden,2014,17377764999.99999,581964000000.0,2.9860549793457998,1.10
Europe,Sweden,2015,17193575000.0,505104000000.0,3.403967301783395,1.75
Europe,Sweden,2016,15846839999.999998,515655000000.0,3.07314774413125,1.55
Europe,Sweden,2017,14520329999.999998,541019000000.0,2.6838854088303736,1.40
Europe,Sweden,2018,13449618000.0,555455000000.0,2.4213695078809265,1.54
Europe,Sweden,2019,13373776000.0,533880000000.0,2.505015359256762,1.68
Europe,Sweden,2022,44171988000.0,585939000000.0,7.538666653013368,1.29
Europe,United Kingdom,2014,46445550000.0,3065220000000.0,1.5152436040479964,1.10
Europe,United Kingdom,2015,48256416000.0,2934860000000.0,1.644249333869418,1.75
Europe,United Kingdom,2016,47963665000.0,2699660000000.0,1.776655764059178,1.55
Europe,United Kingdom,2017,49120935458.0,2683490000000.0,1.830486994846264,1.40
Europe,United Kingdom,2018,52670284963.99999,2878150000000.0,1.8300048629849035,1.54
Europe,United Kingdom,2019,53542847628.0,2857060000000.0,1.8740540145464215,1.68
Europe,United Kingdom,2022,117015928743.9677,3070670000000.0,3.810762105467787,1.29
North America,Canada,2014,67462485000.00001,1805750000000.0,3.735981448151738,0.50
North America,Canada,2015,65766203999.99999,1556510000000.0,4.225234916576186,1.03
North America,Canada,2016,80070365000.0,1527990000000.0,5.240241428281599,1.89
North America,Canada,2017,76100072000.0,1649270000000.0,4.614166995094799,1.68
North America,Canada,2018,72568125000.0,1725300000000.0,4.206116327595201,1.19
North America,Canada,2019,67868940000.0,1743730000000.0,3.8921702327768632,0.86
North America,Canada,2022,67268192810.33819,2139840000000.0,3.143608531962118,1.18
North America,United States,2014,592072832000.0,17550700000000.0,3.3734998148222006,0.50
North America,United States,2015,595990845000.0,18206000000000.0,3.273595765132374,1.03
North America,United States,2016,643209803999.9996,18695100000000.0,3.4405261485629905,1.89
North America,United States,2017,645234708948.0,19477300000000.0,3.3127523268009424,1.68
North America,United States,2018,691325642052.0,20533100000000.0,3.366883919388694,1.19
North America,United States,2019,717569556166.0,21381000000000.0,3.3561084896216267,0.86
North America,United States,2022,738996985372.2839,25462700000000.0,2.902272678750816,1.18
Oceania,Australia,2014,49556616000.0,1467590000000.0,3.376734374041796,1.10
Oceania,Australia,2015,48632998000.0,1350580000000.0,3.600897244146959,0.91
Oceania,Australia,2016,44673710000.0,1206560000000.0,3.7025684590903065,1.32
Oceania,Australia,2017,39876071672.0,1326470000000.0,3.0061796853302374,0.78
Oceania,Australia,2018,54412836555.0,1428270000000.0,3.809702406057678,1.12
Oceania,Australia,2019,48745693104.0,1392220000000.0,3.5012924037867577,1.06
Oceania,Australia,2022,57972189598.66754,1675420000000.0,3.460158622832934,1.00
Oceania,New Zealand,2014,5552568000.0,201313000000.0,2.758176570812615,1.10
Oceania,New Zealand,2015,5826820999.999999,178064000000.0,3.272318379908347,0.91
Oceania,New Zealand,2016,5310624000.0,188838000000.0,2.812264480665968,1.32
Oceania,New Zealand,2017,4871865406.0,206556000000.0,2.358617230194233,0.78
Oceania,New Zealand,2018,4596267100.0,211887000000.0,2.1692067469925007,1.12
Oceania,New Zealand,2019,4838263560.0,213092000000.0,2.270504552024478,1.06
Oceania,New Zealand,2022,7464125146.091051,247234000000.0,3.019052859271399,1.00
South America,Argentina,2014,11866842000.0,526320000000.0,2.2546819425444595,0.78
South America,Argentina,2015,9038540000.000002,594749000000.0,1.5197234463614069,1.22
South America,Argentina,2016,11332728000.0,557532000000.0,2.032659650029057,1.44
South America,Argentina,2017,13674106000.0,643628000000.0,2.1245356013100736,1.18
South America,Argentina,2018,19955320000.0,524820000000.0,3.802316984871004,1.11
South America,Argentina,2019,13566852000.0,447755000000.0,3.029972194615359,1.16
South America,Argentina,2022,3981216000.0,632770000000.0,0.6291726851778687,1.01
South America,Brazil,2014,64756178999.99999,2456040000000.0,2.636609297894171,0.78
South America,Brazil,2015,81035236000.0,1802210000000.0,4.49643693021346,1.22
South America,Brazil,2016,93521428000.00002,1795690000000.0,5.208105407949034,1.44
South America,Brazil,2017,80125429999.99998,2063510000000.0,3.882967855740946,1.18
South America,Brazil,2018,86484703000.0,1916930000000.0,4.511625515798699,1.11
South America,Brazil,2019,94152450000.0,1873290000000.0,5.026047755553065,1.16
South America,Brazil,2022,100742688937.66,1920100000000.0,5.246741781035363,1.01
South America,Chile,2014,6647928000.0,259405000000.0,2.562760162679979,0.78
South America,Chile,2015,6832346999.999993,242497000000.0,2.81749753605199,1.22
South America,Chile,2016,7437150000.0,249299000000.0,2.983224962795679,1.44
South America,Chile,2017,6964678512.0,276365000000.0,2.5201015005518066,1.18
South America,Chile,2018,7150456946.999993,295403000000.0,2.42057695656442,1.11
South America,Chile,2019,7634007521.999999,278493000000.0,2.741184705540175,1.16
South America,Chile,2022,15793092880.904243,301025000000.0,5.246438960519639,1.01
South America,Colombia,2014,9647578675.117723,381241000000.0,2.530572177472445,0.78
South America,Colombia,2015,9781189862.66093,293492000000.0,3.3326938596830344,1.22
South America,Colombia,2016,10291093453.58865,282720000000.0,3.640030225519472,1.44
South America,Colombia,2017,10115151372.748798,311867000000.0,3.243418307403091,1.18
South America,Colombia,2018,9389891884.709291,334198000000.0,2.809679257419042,1.11
South America,Colombia,2019,15011121352.943983,323032000000.0,4.64694561311077,1.16
South America,Colombia,2022,14250087925.085129,343939000000.0,4.143202115806909,1.01
